,vid,vehicle_class,vocation,vehicle_type,fuel_type,drivetrain_type,vehicle_construction_year,load_capacity,scheduled_maintenance,position_latitude,position_longitude,vehicle_status,licence_plate,accident_probability,predicted_maintenance_probability,predicted_weeks_until_maintenance
24,31,7,Warehouse Delivery,Straight Truck,Diesel,Conventional,2009,18870,0,35.10425632,-88.55195643,maintenance,NRL-025,97,0.02258759,30
25,32,7,Warehouse Delivery,Straight Truck,Diesel,Conventional,2009,14580,14,43.22485237,-109.85255442,delayed,NRL-026,14,0.02258759,30
26,33,7,Warehouse Delivery,Straight Truck,Diesel,Conventional,2007,16109,18,38.37929439,-83.72049653,on time,NRL-027,33,0.02258759,30
27,36,7,Parcel Delivery,Straight Truck,Diesel,Conventional,2001,13150,4,36.58038393,-115.31438354,delayed,NRL-028,75,0.02258759,30
28,37,7,Parcel Delivery,Straight Truck,Diesel,Conventional,2000,15486,7,38.35438919,-97.18517856,idle,NRL-029,66,0.02258759,30
29,38,7,Parcel Delivery,Straight Truck,Diesel,Conventional,2017,17620,7,36.21113815,-93.5138919,on time,NRL-030,36,0.02258759,30
30,39,7,Parcel Delivery,Straight Truck,Diesel,Parallel Hybrid,2008,17472,10,48.92226005,-111.95334396,on time,NRL-031,36,0.02977702,30
31,40,7,Parcel Delivery,Straight Truck,Diesel,Conventional,2013,14996,12,42.24579843,-115.09356107,delayed,NRL-032,26,0.02258759,30
32,42,7,Parcel Delivery,Straight Truck,Diesel,Conventional,2015,17823,17,36.82555968,-115.29644726,on time,NRL-033,58,0.02258759,30
33,43,7,Parcel Delivery,Straight Truck,Diesel,Conventional,2010,13423,7,34.16860561,-104.19691788,unused,NRL-034,53,0.02258759,30
34,44,7,Parcel Delivery,Straight Truck,Diesel,Conventional,2008,13637,7,47.34684836,-112.78886049,on time,NRL-035,39,0.02258759,30
35,45,7,Parcel Delivery,Straight Truck,Diesel,Conventional,2007,16115,19,45.73363035,-102.18964064,on time,NRL-036,33,0.02258759,30
36,46,7,Parcel Delivery,Straight Truck,Diesel,Conventional,2003,18580,19,36.15584716,-105.68366433,on time,NRL-037,26,0.03308119,30
37,47,5,Food Delivery,Straight Truck,Diesel,Conventional,2006,7882,0,42.25677,-102.26795551,maintenance,NRL-038,65,0.02258759,30
38,48,5,Food Delivery,Straight Truck,Diesel,Conventional,2017,7806,12,49.73171214,-93.3790348,unused,NRL-039,29,0.02258759,30
39,49,5,Food Delivery,Straight Truck,Diesel,Conventional,2003,8627,6,46.3009336,-115.25938714,accident,NRL-040,30,0.02258759,30
40,50,5,Food Delivery,Straight Truck,Diesel,Conventional,2004,7624,19,42.31795401,-87.77360390000001,on time,NRL-041,37,0.02258759,30
41,51,5,Food Delivery,Straight Truck,Diesel,Conventional,2017,7837,0,39.82113656,-111.66480868,maintenance,NRL-042,2,0.02258759,30
42,52,5,Food Delivery,Straight Truck,Diesel,Conventional,2011,8762,5,40.39799071,-88.56500532,accident,NRL-043,23,0.02258759,30
43,53,5,Food Delivery,Straight Truck,Diesel,Conventional,2012,9465,9,46.13124728,-88.78736078,on time,NRL-044,82,0.05538309,30
44,54,5,Food Delivery,Straight Truck,Diesel,Conventional,2016,9219,12,39.06855109,-85.76801605,on time,NRL-045,23,0.02258759,30
45,55,5,Food Delivery,Straight Truck,Diesel,Conventional,2013,8434,20,37.80389793,-94.91661919,on time,NRL-046,54,0.02258759,30
46,56,5,Food Delivery,Straight Truck,Diesel,Conventional,2009,7696,13,41.42324777,-91.82093381,delayed,NRL-047,64,0.02258759,30
47,58,6,Linen Delivery,Step Van,Diesel,Conventional,2015,12513,6,37.7740363,-93.91109552,on time,NRL-048,37,0.02258759,30
48,59,5,Linen Delivery,Step Van,Diesel,Parallel Hybrid,2000,8332,18,43.18628762,-87.93580056,accident,NRL-049,46,0.02258759,30
49,60,6,Linen Delivery,Step Van,Diesel,Parallel Hybrid,2004,10101,18,34.60883424,-100.11521421,on time,NRL-050,79,0.02258759,30
50,61,5,Linen Delivery,Step Van,Diesel,Conventional,2015,7539,20,50.03463887,-93.11936878,delayed,NRL-051,75,0.02258759,30
51,62,5,Linen Delivery,Step Van,Diesel,Parallel Hybrid,2002,9091,17,38.60301652,-99.44770741,delayed,NRL-052,9,0.02258759,30
52,63,6,Linen Delivery,Step Van,Diesel,Parallel Hybrid,2007,10525,2,39.64653793,-113.98949107,on time,NRL-053,8,0.02258759,30
53,64,6,Linen Delivery,Step Van,Diesel,Conventional,2008,11886,19,48.64349315,-109.25075002,on time,NRL-054,68,0.02258759,30
54,65,6,Linen Delivery,Step Van,Diesel,Parallel Hybrid,2009,12699,13,40.40574149,-85.95155348,on time,NRL-055,86,0.9479797,1
55,66,5,Linen Delivery,Step Van,Diesel,Parallel Hybrid,2003,7606,11,40.59016119,-96.79771258,idle,NRL-056,85,0.02258759,30
56,67,6,Linen Delivery,Step Van,Diesel,Parallel Hybrid,2007,9910,19,34.71722812,-105.42800473,on time,NRL-057,52,0.02258759,30
57,68,6,Linen Delivery,Step Van,Diesel,Conventional,2004,10042,15,47.84727525,-100.82507071,on time,NRL-058,58,0.02258759,30
58,70,6,Linen Delivery,Step Van,Diesel,Conventional,2005,12419,7,39.51271462,-87.81998551,on time,NRL-059,48,0.02258759,30
59,71,6,Linen Delivery,Step Van,Diesel,Conventional,2006,10588,16,46.20534741,-97.50022355,delayed,NRL-060,14,0.02258759,30
60,72,5,Linen Delivery,Step Van,Diesel,Conventional,2008,8174,19,48.1749873,-101.70198862,idle,NRL-061,7,0.02258759,30
61,74,7,Linen Delivery,Straight Truck,Diesel,Conventional,2000,15658,11,49.7449309,-89.56723109,delayed,NRL-062,85,0.02258759,30
62,75,5,Linen Delivery,Step Van,Diesel,Parallel Hybrid,2002,8667,19,44.48751448,-89.07059187,idle,NRL-063,5,0.02258759,30
63,76,6,Linen Delivery,Step Van,Diesel,Conventional,2010,9570,15,41.08877715,-101.89368836,delayed,NRL-064,89,0.02258759,30
64,77,6,Linen Delivery,Step Van,Diesel,Conventional,2015,10152,6,37.328791100000004,-103.02078759999999,on time,NRL-065,35,0.02258759,30
65,78,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2015,42847,11,34.99360042,-112.58626982,delayed,NRL-066,41,0.02258759,30
66,79,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2007,37662,5,40.73228253,-91.27197058,on time,NRL-067,47,0.02258759,30
67,80,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2010,20200,1,42.76181057,-114.07176507,idle,NRL-068,99,0.02258759,30
68,81,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2014,35701,15,41.48700708,-94.67346773,delayed,NRL-069,85,0.02258759,30
69,83,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2000,21502,19,45.80088191,-85.61622444,on time,NRL-070,63,0.02258759,30
70,84,8,Beverage Delivery,Tractor,Diesel,Conventional,2001,38213,2,40.3289463,-88.74525002,delayed,NRL-071,87,0.02258759,30
71,85,8,Beverage Delivery,Tractor,Diesel,Conventional,2017,45050,13,34.808222799999996,-102.90747254,delayed,NRL-072,3,0.02258759,30
72,86,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2013,59570,19,37.04377373,-99.76874912,idle,NRL-073,70,0.02258759,30
73,87,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2003,46100,10,37.69826547,-114.02190438,idle,NRL-074,40,0.02258759,30
74,88,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2000,30754,13,35.60060665,-97.15226447,idle,NRL-075,41,0.02258759,30
75,89,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2013,26519,7,36.76738997,-87.81868336,unused,NRL-076,85,0.02258759,30
76,90,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2006,54721,18,48.60459423,-101.34308111,on time,NRL-077,41,0.02258759,30
77,91,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2006,42209,8,34.64789454,-91.26578503,accident,NRL-078,18,0.02258759,30
78,92,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2002,45041,12,35.2550235,-112.91860333,unused,NRL-079,32,0.02258759,30
79,93,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2012,48528,16,34.805870299999995,-106.49428281,on time,NRL-080,27,0.02258759,30
80,94,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2011,38190,17,36.51245298,-98.24708234,delayed,NRL-081,85,0.02258759,30
81,95,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2007,47381,11,38.04136061,-104.9562327,unused,NRL-082,35,0.02258759,30
82,96,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2013,33028,6,42.64810504,-96.9654378,idle,NRL-083,60,0.02258759,30
83,97,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2008,23946,0,40.79327544,-84.51663476,maintenance,NRL-084,67,0.02258759,30
84,98,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2011,35489,16,43.54574965,-84.13267194,delayed,NRL-085,11,0.02258759,30
85,99,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2012,48840,1,33.92834285,-99.77293991,delayed,NRL-086,43,0.02258759,30
86,100,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2011,24278,18,49.15551298,-94.17996693,on time,NRL-087,12,0.02258759,30
87,101,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2004,50859,7,42.78105722,-81.54857133,on time,NRL-088,63,0.02258759,30
88,102,5,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2007,9260,20,38.72804727,-97.46275694,delayed,NRL-089,20,0.02258759,30
89,103,5,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2007,7803,14,50.59551317,-85.36291529,on time,NRL-090,92,0.02258759,30
90,104,5,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2013,7337,4,42.23997437,-89.78985748,delayed,NRL-091,62,0.02258759,30
91,105,5,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2004,7770,0,48.86458718,-95.48335123,maintenance,NRL-092,70,0.02258759,30
92,106,5,Parcel Delivery,Walk In,Diesel,Conventional,2016,7213,1,34.84948024,-102.17296195,on time,NRL-093,13,0.02258759,30
93,107,5,Parcel Delivery,Walk In,Diesel,Conventional,2000,9141,16,39.8507398,-101.62638205,unused,NRL-094,18,0.02258759,30
94,108,5,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2013,7621,21,36.90633663,-87.51542457,delayed,NRL-095,91,0.02258759,30
95,109,5,Parcel Delivery,Walk In,Diesel,Conventional,2010,7848,2,37.40560519,-94.6166874,idle,NRL-096,24,0.02258759,30
96,110,5,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2017,9376,21,50.15704946,-91.55621515,idle,NRL-097,7,0.02258759,30
97,111,5,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2007,8666,4,46.08503922,-103.64418347,on time,NRL-098,99,0.02258759,30
98,112,3,Parcel Delivery,Step Van,Diesel,Conventional,2010,4763,3,45.78803518,-106.48965690000001,on time,NRL-099,81,0.02258759,30
99,115,5,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2000,9445,16,43.70137345,-115.24024897,unused,NRL-100,12,0.02258759,30
100,116,5,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2012,8449,18,45.82754554,-89.09739165,delayed,NRL-101,28,0.02258759,30
101,117,3,Parcel Delivery,Step Van,Diesel,Conventional,2001,4192,1,34.54138715,-98.66605695,idle,NRL-102,56,0.02258759,30
102,118,3,Parcel Delivery,Step Van,Diesel,Conventional,2009,4042,11,49.88795023,-102.42225052,on time,NRL-103,31,0.02258759,30
103,119,3,Parcel Delivery,Step Van,Diesel,Conventional,2001,3225,11,39.21858893,-94.06826856,delayed,NRL-104,90,0.02977702,30
104,120,3,Parcel Delivery,Step Van,Diesel,Conventional,2002,3319,20,49.41713327,-112.53117883,idle,NRL-105,52,0.02258759,30
105,121,3,Parcel Delivery,Step Van,Diesel,Conventional,2012,4582,12,37.43478421,-92.90407085,on time,NRL-106,81,0.02258759,30
106,122,3,Parcel Delivery,Step Van,Diesel,Conventional,2007,5265,4,43.99125447,-92.17906119,delayed,NRL-107,77,0.02258759,30
107,124,6,Linen Delivery,Walk In,Diesel,Conventional,2002,10499,13,38.01614361,-106.483935,on time,NRL-108,33,0.02258759,30
108,125,6,Linen Delivery,Walk In,Diesel,Conventional,2010,9612,0,49.23418105,-113.77120053,maintenance,NRL-109,71,0.02258759,30
109,126,6,Linen Delivery,Walk In,Diesel,Conventional,2000,12059,8,47.83623392,-94.36728401,idle,NRL-110,22,0.02258759,30
110,127,6,Linen Delivery,Walk In,Diesel,Parallel Hybrid,2009,11905,7,46.21009147,-82.64859675,delayed,NRL-111,80,0.02258759,30
111,128,6,Linen Delivery,Walk In,Diesel,Conventional,2006,12062,7,39.16427444,-109.24267988,delayed,NRL-112,65,0.02258759,30
112,129,6,Linen Delivery,Walk In,Diesel,Parallel Hybrid,2002,12670,1,41.86723994,-101.65039543,on time,NRL-113,65,0.02258759,30
113,130,6,Linen Delivery,Walk In,Diesel,Parallel Hybrid,2007,11320,7,47.72666958,-87.94222022,delayed,NRL-114,71,0.02258759,30
114,131,6,Linen Delivery,Walk In,Diesel,Parallel Hybrid,2007,10215,2,48.56956131,-85.83951636,unused,NRL-115,31,0.02258759,30
115,132,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2016,42994,4,35.87706815,-103.71319895,delayed,NRL-116,30,0.02258759,30
116,133,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2015,45282,5,44.87428989,-93.76643788,idle,NRL-117,98,0.02258759,30
117,134,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2005,23890,7,35.50703225,-105.58414238,on time,NRL-118,24,0.02258759,30
118,135,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2017,47904,18,45.07208928,-102.23462682,on time,NRL-119,14,0.02258759,30
119,136,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2010,26061,12,38.50410182,-99.69949809,unused,NRL-120,46,0.03308119,30
120,137,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2016,25108,13,34.88302359,-113.12423026,delayed,NRL-121,59,0.02258759,30
121,138,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2005,55389,0,47.57254308,-114.37578919,maintenance,NRL-122,83,0.02258759,30
122,139,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2013,42529,21,45.50735817,-82.57168929,on time,NRL-123,98,0.02258759,30
123,140,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2017,50208,18,39.66225578,-91.05511603,on time,NRL-124,31,0.02258759,30
124,141,8,Beverage Delivery,Tractor,Diesel,Conventional,2001,40738,7,39.77855787,-91.842667,unused,NRL-125,53,0.02258759,30
125,142,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2010,37187,15,45.99890925,-107.30697628,idle,NRL-126,44,0.02258759,30
126,143,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2000,41422,9,49.28841576,-92.03768832,unused,NRL-127,94,0.02258759,30
127,144,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2007,54334,1,42.29074151,-106.41281922,on time,NRL-128,42,0.02258759,30
128,145,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2000,29336,1,41.35216085,-86.55377633,idle,NRL-129,84,0.02258759,30
129,146,8,Beverage Delivery,Tractor,Diesel,Conventional,2017,22726,13,41.58940742,-102.52795036,on time,NRL-130,97,0.02258759,30
130,147,8,Beverage Delivery,Tractor,Diesel,Conventional,2014,37532,20,40.87457257,-104.71335416,unused,NRL-131,30,0.02258759,30
131,148,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2013,56207,6,46.63186619,-85.73187066,delayed,NRL-132,47,0.02258759,30
132,149,8,Beverage Delivery,Tractor,Diesel,Conventional,2011,31195,21,37.38297875,-106.15895319,unused,NRL-133,70,0.02258759,30
133,150,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2006,30967,6,46.90341438,-116.55140903,delayed,NRL-134,69,0.02258759,30
134,151,8,Beverage Delivery,Tractor,Diesel,Parallel Hybrid,2013,19379,20,44.24727122,-89.29099685,idle,NRL-135,17,0.02258759,30
135,152,8,Beverage Delivery,Tractor,Diesel,Conventional,2015,21592,1,45.34647544,-95.27962002,on time,NRL-136,54,0.02258759,30
136,154,7,Food Delivery,Tractor,Diesel,Parallel Hybrid,2009,14883,1,48.10639917,-90.33703546,accident,NRL-137,51,0.02258759,30
137,155,7,Food Delivery,Tractor,Diesel,Parallel Hybrid,2002,16046,21,40.87673864,-83.24256743,delayed,NRL-138,29,0.02258759,30
138,156,7,Food Delivery,Tractor,Diesel,Parallel Hybrid,2007,16734,17,45.4574518,-89.14726655,idle,NRL-139,95,0.02258759,30
139,157,7,Food Delivery,Tractor,Diesel,Parallel Hybrid,2005,18217,18,45.39050021,-109.85474284,on time,NRL-140,10,0.02258759,30
140,158,7,Food Delivery,Tractor,Diesel,Conventional,2004,16526,6,45.6709054,-95.96575412,delayed,NRL-141,83,0.02258759,30
141,159,7,Food Delivery,Tractor,Diesel,Parallel Hybrid,2005,14700,11,46.30435342,-87.99900882,unused,NRL-142,27,0.02258759,30
142,160,7,Food Delivery,Tractor,Diesel,Parallel Hybrid,2008,15843,18,42.18980541,-104.44258875,on time,NRL-143,40,0.02258759,30
143,161,7,Food Delivery,Tractor,Diesel,Conventional,2013,16557,3,49.63582454,-104.87647068,idle,NRL-144,59,0.02258759,30
144,162,7,Food Delivery,Tractor,Diesel,Parallel Hybrid,2017,17660,19,38.85780444,-100.63364694,delayed,NRL-145,55,0.02258759,30
145,220,6,Parcel Delivery,Walk In,Diesel,Conventional,2017,11138,2,38.55710843,-94.52172488,delayed,NRL-146,79,0.02258759,30
146,221,6,Parcel Delivery,Walk In,Diesel,Conventional,2015,11022,3,34.45684017,-114.55470551,idle,NRL-147,29,0.02258759,30
147,222,6,Parcel Delivery,Walk In,Diesel,Hydraulic Hybrid,2013,10234,0,41.74881105,-86.67796948,maintenance,NRL-148,31,0.02258759,30
148,223,6,Parcel Delivery,Walk In,Diesel,Hydraulic Hybrid,2008,12949,10,35.96677171,-91.44245759999998,accident,NRL-149,28,0.02258759,30
149,224,6,Parcel Delivery,Walk In,Diesel,Conventional,2014,10318,0,42.05142542,-93.77648941,maintenance,NRL-150,61,0.02258759,30
150,225,6,Parcel Delivery,Walk In,Diesel,Hydraulic Hybrid,2013,10314,1,43.88406169,-98.74806046,on time,NRL-151,57,0.02258759,30
151,226,6,Parcel Delivery,Walk In,Diesel,Hydraulic Hybrid,2016,10019,5,39.04007642,-98.05588382,on time,NRL-152,22,0.02258759,30
152,227,6,Parcel Delivery,Walk In,Diesel,Conventional,2010,10993,0,41.14633363,-99.16805697,maintenance,NRL-153,44,0.02258759,30
153,228,6,Parcel Delivery,Walk In,Diesel,Conventional,2013,9772,5,44.91690339,-115.48657325,delayed,NRL-154,91,0.02258759,30
154,230,6,Parcel Delivery,Walk In,Diesel,Hydraulic Hybrid,2003,12291,14,49.13924827,-91.98112197,delayed,NRL-155,87,0.02258759,30
155,231,6,Parcel Delivery,Walk In,Diesel,Conventional,2002,11193,8,45.41155079,-89.72342892,idle,NRL-156,78,0.02258759,30
156,232,6,Parcel Delivery,Walk In,Diesel,Hydraulic Hybrid,2014,10407,11,34.5905926,-106.6069233,accident,NRL-157,42,0.02258759,30
157,233,6,Parcel Delivery,Walk In,Diesel,Conventional,2014,10969,12,33.94026848,-105.59913633,delayed,NRL-158,85,0.02258759,30
158,234,6,Parcel Delivery,Walk In,Diesel,Conventional,2000,10518,16,34.66289954,-98.70197286,delayed,NRL-159,43,0.02258759,30
159,239,7,Local Delivery,Tractor,Diesel,Conventional,2011,14806,0,42.73985675,-104.59833214,maintenance,NRL-160,79,0.02258759,30
160,240,7,Local Delivery,Tractor,Diesel,Conventional,2003,16614,0,44.50960586,-116.16227991,maintenance,NRL-161,61,0.02258759,30
161,241,7,Local Delivery,Tractor,Diesel,Conventional,2001,18256,9,50.35285245,-101.26311171,delayed,NRL-162,47,0.02258759,30
162,242,8,Utility,Bucket Truck,Diesel,Conventional,2002,52712,21,41.5514997,-114.38680626,delayed,NRL-163,83,0.02258759,30
163,246,8,Utility,Bucket Truck,Diesel,Conventional,2016,50902,14,49.16575934,-114.49759128,on time,NRL-164,57,0.02258759,30
164,254,7,Beverage Delivery,Tractor,Diesel,Conventional,2000,18527,3,37.21845534,-101.03149507,delayed,NRL-165,33,0.02258759,30
165,255,7,Beverage Delivery,Tractor,Diesel,Conventional,2010,13732,4,37.01407737,-115.96336847,delayed,NRL-166,36,0.02258759,30
166,257,7,Beverage Delivery,Tractor,Diesel,Conventional,2008,13704,0,39.244164399999995,-112.60149088,maintenance,NRL-167,73,0.02258759,30
167,258,7,Beverage Delivery,Tractor,Diesel,Conventional,2013,15791,13,41.09091507,-82.08710643,on time,NRL-168,79,0.02258759,30
168,284,3,Telecom,Bucket Truck,Gasoline,Conventional,2003,3657,6,47.51666053,-91.35985874,on time,NRL-169,49,0.02258759,30
169,286,3,Telecom,Bucket Truck,Gasoline,Conventional,2000,3762,19,47.13675465,-111.32241868,accident,NRL-170,65,0.02258759,30
170,287,3,Telecom,Bucket Truck,Gasoline,Conventional,2008,3417,10,45.50226909,-95.61730608,delayed,NRL-171,11,0.02258759,30
171,288,3,Telecom,Bucket Truck,Gasoline,Conventional,2013,3522,0,38.07164111,-114.00906499,maintenance,NRL-172,46,0.02258759,30
172,289,2,Telecom,Service Van,Gasoline,Conventional,2015,2552,8,42.36576878,-86.19267921,idle,NRL-173,47,0.02258759,30
173,290,2,Telecom,Service Van,Gasoline,Conventional,2009,2471,1,49.20893667,-93.0328717,unused,NRL-174,67,0.02258759,30
174,291,3,Telecom,Bucket Truck,Gasoline,Conventional,2000,3042,6,37.38109459,-92.72495996,idle,NRL-175,78,0.02258759,30
175,292,3,Telecom,Bucket Truck,Gasoline,Conventional,2012,4622,1,35.57661429,-85.46087586,on time,NRL-176,48,0.02258759,30
176,293,3,Telecom,Bucket Truck,Gasoline,Conventional,2017,4849,19,36.81315948,-94.99784696,delayed,NRL-177,0,0.02258759,30
177,295,3,Telecom,Bucket Truck,Gasoline,Conventional,2010,3312,7,34.72360134,-90.11007307,on time,NRL-178,8,0.02258759,30
178,296,3,Telecom,Bucket Truck,Gasoline,Conventional,2012,3373,13,34.11794989,-84.15438691,idle,NRL-179,42,0.02258759,30
179,297,3,Telecom,Bucket Truck,Gasoline,Conventional,2015,3721,3,41.86600146,-103.68680436,unused,NRL-180,69,0.02258759,30
180,298,3,Telecom,Bucket Truck,Gasoline,Conventional,2014,4840,15,48.274371200000004,-116.34684092,idle,NRL-181,64,0.02258759,30
181,299,2,Telecom,Service Van,Gasoline,Conventional,2011,2001,2,49.64382276,-89.94065973,on time,NRL-182,36,0.02258759,30
182,300,2,Telecom,Service Van,Gasoline,Conventional,2007,2287,15,49.92957328,-99.99312227,on time,NRL-183,62,0.02258759,30
183,301,3,Telecom,Bucket Truck,Gasoline,Conventional,2003,4420,19,38.08562035,-88.58810848,on time,NRL-184,52,0.02258759,30
184,302,3,Telecom,Bucket Truck,Gasoline,Conventional,2015,3153,0,47.76077824,-114.37838087,maintenance,NRL-185,91,0.02258759,30
185,303,3,Telecom,Bucket Truck,Gasoline,Conventional,2014,3333,18,43.5207464,-101.65289412,delayed,NRL-186,68,0.02258759,30
186,304,3,Telecom,Bucket Truck,Gasoline,Conventional,2002,4284,8,47.84384694,-114.54775168,on time,NRL-187,76,0.02258759,30
187,305,3,Telecom,Bucket Truck,Gasoline,Conventional,2004,3886,2,49.38409053,-115.94761304,on time,NRL-188,10,0.02258759,30
188,306,3,Telecom,Bucket Truck,Gasoline,Conventional,2004,3667,0,35.17476921,-89.63669329999999,maintenance,NRL-189,91,0.02258759,30
