,vid,month,fuel_cost_total,insurance_cost,maintenance_cost,total_cost
118,135,January,72.27,194.97,1232.1,1499.34
119,136,January,31.51,192.14,1239.06,1462.71
120,137,January,47.739999999999995,203.78,1191.39,1442.91
121,138,January,25.34,193.58,1162.35,1381.27
122,139,January,39.2,264.77,1227.54,1531.51
123,140,January,53.93,178.91,1053.01,1285.85
124,141,January,30.43,202.34,1332.69,1565.46
125,142,January,69.45,190.59,1171.06,1431.1
126,143,January,71.12,185.95,1170.92,1427.99
127,144,January,65.9,186.64,1166.0,1418.54
128,145,January,42.269999999999996,200.55,1059.78,1302.6
129,146,January,197.57,218.62,1232.64,1648.8300000000002
130,147,January,304.15999999999997,223.89,1220.34,1748.3899999999999
131,148,January,59.58,213.93,1298.65,1572.16
132,149,January,99.37,191.53,1215.89,1506.79
133,150,January,97.66,238.43,1224.75,1560.8400000000001
134,151,January,66.77,235.55,1392.96,1695.28
135,152,January,80.84,235.26,1174.87,1490.9699999999998
136,154,January,255.77,190.57,1216.64,1662.98
137,155,January,36.61,212.43,1144.19,1393.23
138,156,January,96.38999999999999,214.21,1163.99,1474.5900000000001
139,157,January,98.33,211.7,1196.38,1506.41
140,158,January,362.71999999999997,211.38,1051.63,1625.73
141,159,January,46.85,210.98,1176.37,1434.1999999999998
142,160,January,55.98,193.95,1253.21,1503.14
143,161,January,274.03999999999996,224.15,1312.24,1810.4299999999998
144,162,January,232.89,227.55,1259.12,1719.56
145,220,January,29.53,212.73,1397.03,1639.29
146,221,January,24.02,201.11,1273.11,1498.24
147,222,January,0.0,208.12,1142.21,1350.33
148,223,January,5.99,224.97,1183.63,1414.5900000000001
149,224,January,0.0,197.45,1300.88,1498.3300000000002
150,225,January,44.46,213.99,1379.58,1638.03
151,226,January,20.52,185.29,1324.72,1530.53
152,227,January,4.67,207.58,1262.64,1474.89
153,228,January,0.0,174.51,1356.83,1531.34
154,230,January,0.0,177.26,1249.05,1426.31
155,231,January,11.57,241.77,1246.41,1499.75
156,232,January,14.66,202.63,1300.09,1517.3799999999999
157,233,January,2.8,222.07,1214.78,1439.65
158,234,January,12.120000000000001,146.46,1161.31,1319.8899999999999
159,239,January,0.0,195.25,1066.94,1262.19
160,240,January,181.66,196.48,1119.65,1497.79
161,241,January,233.57,188.84,1226.3,1648.71
162,242,January,29.98,202.79,1183.21,1415.98
163,246,January,65.22,182.67,1380.65,1628.54
164,254,January,20.64,225.12,1114.23,1359.99
165,255,January,25.009999999999998,213.18,984.47,1222.66
166,257,January,23.57,177.11,1069.33,1270.01
167,258,January,10.98,209.69,1133.57,1354.24
168,284,January,3.56,206.29,1102.03,1311.8799999999999
169,286,January,0.0,232.22,1150.84,1383.06
170,287,January,31.509999999999998,221.12,1222.05,1474.6799999999998
171,288,January,8.86,177.63,1171.37,1357.86
172,289,January,4.67,184.46,1155.36,1344.4899999999998
173,290,January,29.68,219.89,1221.23,1470.8
174,291,January,42.03,173.57,1160.26,1375.86
175,292,January,14.71,212.0,1270.63,1497.3400000000001
176,293,January,11.14,186.43,1206.54,1404.11
177,295,January,9.39,210.18,1177.27,1396.84
178,296,January,9.040000000000001,210.77,1248.91,1468.72
179,297,January,20.71,207.49,1113.25,1341.45
180,298,January,12.6,185.06,1153.5,1351.16
181,299,January,11.77,200.67,1097.73,1310.17
182,300,January,14.02,224.4,1162.99,1401.41
183,301,January,7.680000000000001,196.31,1134.31,1338.3
184,302,January,15.290000000000001,208.93,1189.35,1413.57
185,303,January,28.740000000000002,232.97,1092.11,1353.82
186,304,January,0.0,238.19,1084.32,1322.51
187,305,January,3.16,231.09,1363.85,1598.1
188,306,January,15.2,202.86,1423.88,1641.94
189,307,January,31.57,202.06,1356.39,1590.02
190,309,January,0.0,196.47,1214.08,1410.55
191,310,January,71.14,189.76,998.25,1259.15
192,311,January,17.52,196.72,1291.91,1506.15
193,312,January,0.0,171.78,1195.59,1367.37
194,313,January,13.120000000000001,211.56,1158.32,1383.0
195,315,January,10.54,194.31,1252.21,1457.06
196,316,January,11.07,222.63,1256.13,1489.8300000000002
197,317,January,0.0,221.0,1356.24,1577.24
198,319,January,0.0,227.86,1408.88,1636.7400000000002
199,320,January,12.87,184.46,1233.04,1430.37
200,321,January,0.0,195.47,1136.97,1332.44
201,322,January,0.0,185.4,1219.42,1404.8200000000002
202,323,January,0.0,168.82,1067.62,1236.4399999999998
203,324,January,14.66,186.6,1163.39,1364.65
204,325,January,0.0,184.15,1093.89,1278.0400000000002
205,326,January,13.95,222.61,1293.89,1530.45
206,327,January,24.14,145.22,1327.46,1496.8200000000002
207,328,January,0.0,210.21,1174.8,1385.01
208,329,January,0.0,194.93,1248.88,1443.8100000000002
209,330,January,0.0,190.85,1239.07,1429.9199999999998
210,331,January,0.0,193.88,1279.35,1473.23
211,332,January,29.75,209.32,1196.1,1435.1699999999998
212,567,January,40.25,198.04,1308.58,1546.87
213,569,January,48.61,247.56,1147.46,1443.63
214,570,January,28.96,203.94,1305.07,1537.97
215,571,January,21.79,190.58,1322.26,1534.63
216,572,January,30.299999999999997,189.41,1196.66,1416.3700000000001
217,573,January,26.25,195.68,1245.3,1467.23
218,574,January,6.8999999999999995,231.81,1209.28,1447.99
219,575,January,30.41,210.86,1259.83,1501.1
220,576,January,68.51,227.54,1267.64,1563.69
221,577,January,72.17,174.72,1226.05,1472.94
222,578,January,111.7,190.26,1177.6,1479.56
223,579,January,72.37,201.39,1282.5,1556.26
0,1,February,28.13,195.99,1246.23,1470.35
1,2,February,22.42,214.06,1438.28,1674.76
2,3,February,52.45,221.03,1092.3,1365.78
3,4,February,26.89,192.68,1394.63,1614.2
4,5,February,89.35,142.56,1241.92,1473.8300000000002
5,6,February,122.93999999999998,181.54,1280.53,1585.01
6,8,February,140.16,175.99,1138.51,1454.6599999999999
7,9,February,33.26,211.65,1159.82,1404.73
8,10,February,80.95,240.87,1236.31,1558.1299999999999
9,11,February,3.15,206.86,1203.12,1413.1299999999999
10,12,February,39.9,236.4,1062.04,1338.34
11,14,February,9.43,206.76,1208.05,1424.24
12,15,February,44.44,222.46,1208.86,1475.7599999999998
13,16,February,97.13999999999999,206.48,1154.24,1457.8600000000001
14,17,February,88.64000000000001,215.11,1303.11,1606.86
15,18,February,63.949999999999996,181.46,1322.3,1567.71
16,20,February,29.07,193.8,1118.58,1341.4499999999998
17,23,February,57.81,230.16,1169.85,1457.82
18,24,February,120.91,218.59,1144.41,1483.91
19,25,February,229.09,172.9,1217.99,1619.98
20,26,February,11.52,221.5,1303.03,1536.05
21,28,February,159.49,224.63,1244.36,1628.48
22,29,February,262.88,194.49,1183.5,1640.87
23,30,February,147.93,206.68,1149.31,1503.92
24,31,February,173.67000000000002,188.52,1352.49,1714.68
25,32,February,231.70000000000002,206.17,1330.62,1768.4899999999998
26,33,February,17.2,203.14,1249.4,1469.74
27,36,February,33.19,192.29,1079.03,1304.51
28,37,February,47.02,199.19,1298.61,1544.82
29,38,February,54.91,189.15,1214.71,1458.77
30,39,February,119.50999999999999,213.78,1102.59,1435.8799999999999
31,40,February,73.89999999999999,187.12,1341.4,1602.42
32,42,February,31.39,207.08,1254.19,1492.66
33,43,February,36.93000000000001,205.62,1065.81,1308.36
34,44,February,97.4,184.24,1174.84,1456.48
35,45,February,48.24,192.02,1185.5,1425.76
36,46,February,87.41000000000001,206.25,1146.94,1440.6000000000001
37,47,February,72.67,227.49,1262.94,1563.1000000000001
38,48,February,20.63,187.19,1305.13,1512.95
39,49,February,67.22,197.52,1163.45,1428.19
40,50,February,67.33999999999999,196.27,1403.26,1666.87
41,51,February,38.95,164.93,1226.76,1430.6399999999999
42,52,February,107.24,197.04,1381.8,1686.08
43,53,February,105.06,215.04,1248.02,1568.12
44,54,February,60.620000000000005,215.63,1303.93,1580.18
45,55,February,81.44,190.4,1345.79,1617.63
46,56,February,87.37,210.71,1142.39,1440.4700000000003
47,58,February,145.42,195.02,1311.74,1652.18
48,59,February,136.26999999999998,207.15,1117.86,1461.2799999999997
49,60,February,147.98999999999998,218.72,1196.47,1563.18
50,61,February,106.62,186.72,1212.39,1505.73
51,62,February,181.86,209.59,1285.8,1677.25
52,63,February,117.82000000000002,167.2,1026.91,1311.93
53,64,February,108.58,219.51,1218.56,1546.6499999999999
54,65,February,196.78000000000003,169.08,1198.03,1563.8899999999999
55,66,February,97.83,198.73,1037.85,1334.4099999999999
56,67,February,127.82000000000001,196.21,1027.08,1351.11
57,68,February,277.09,217.23,1172.51,1666.83
58,70,February,50.18000000000001,235.78,1049.89,1335.8500000000001
59,71,February,124.6,196.24,1230.34,1551.1799999999998
60,72,February,118.7,200.17,1092.18,1411.0500000000002
61,74,February,128.49,178.83,1156.12,1463.44
62,75,February,167.76999999999998,211.3,1139.21,1518.28
63,76,February,197.71000000000004,219.96,1223.87,1641.54
64,77,February,89.05,223.53,1241.49,1554.07
65,78,February,181.67,180.08,990.43,1352.1799999999998
66,79,February,424.99,182.53,989.44,1596.96
67,80,February,450.19,218.09,1278.8,1947.08
68,81,February,265.84999999999997,218.78,1096.89,1581.52
69,83,February,115.5,159.0,1244.17,1518.67
70,84,February,346.52,183.67,1235.03,1765.2199999999998
71,85,February,288.52,156.1,1218.47,1663.0900000000001
72,86,February,274.13,196.18,1205.14,1675.45
73,87,February,174.82000000000002,202.83,1242.65,1620.3000000000002
74,88,February,142.35,206.98,1084.05,1433.3799999999999
75,89,February,147.12,209.04,1213.02,1569.1799999999998
76,90,February,102.41,213.15,1242.6,1558.1599999999999
77,91,February,142.21,197.99,1279.47,1619.67
78,92,February,139.56,169.76,1268.02,1577.34
79,93,February,101.38,204.28,1181.81,1487.4699999999998
80,94,February,35.160000000000004,215.02,1219.9,1470.0800000000002
81,95,February,159.42999999999998,171.75,1220.88,1552.06
82,96,February,94.61999999999999,180.64,1128.68,1403.94
83,97,February,213.37999999999997,224.02,1213.94,1651.3400000000001
84,98,February,139.9,232.6,1223.0,1595.5
85,99,February,123.34,190.7,1161.74,1475.78
86,100,February,119.05000000000001,173.91,1213.49,1506.45
87,101,February,174.69,188.03,1317.05,1679.77
88,102,February,114.57,183.42,1143.01,1441.0
89,103,February,80.27000000000001,190.86,1436.06,1707.19
90,104,February,102.09,216.46,1216.36,1534.9099999999999
91,105,February,82.53999999999999,161.56,1263.12,1507.2199999999998
92,106,February,41.209999999999994,159.13,1300.4,1500.74
93,107,February,38.36,238.86,1233.76,1510.98
94,108,February,77.73,183.91,1138.02,1399.6599999999999
95,109,February,113.42,223.67,1183.47,1520.56
96,110,February,95.71000000000001,163.09,1268.63,1527.43
97,111,February,104.51999999999998,217.17,1247.89,1569.58
98,112,February,91.13,171.72,928.01,1190.8600000000001
99,115,February,73.74000000000001,180.25,1370.09,1624.08
100,116,February,88.20000000000002,172.07,1170.56,1430.83
101,117,February,153.49,210.89,1136.73,1501.1100000000001
102,118,February,117.23,179.18,1259.07,1555.48
103,119,February,76.79,180.03,1125.37,1382.1899999999998
104,120,February,96.15,213.47,1248.45,1558.0700000000002
105,121,February,66.38000000000001,231.36,1110.87,1408.61
106,122,February,115.97,208.59,1192.49,1517.05
107,124,February,282.5,205.22,1199.1,1686.82
108,125,February,111.86999999999999,215.6,1295.91,1623.38
109,126,February,195.03,233.36,1266.26,1694.65
110,127,February,192.50999999999996,195.03,1170.58,1558.12
111,128,February,182.7,180.44,990.37,1353.51
112,129,February,80.21,236.86,1121.36,1438.4299999999998
113,130,February,174.0,228.3,1243.01,1645.31
114,131,February,80.11999999999999,175.72,1274.86,1530.6999999999998
115,132,February,114.57000000000001,216.27,1096.46,1427.3000000000002
116,133,February,95.27000000000001,208.15,1214.14,1517.5600000000002
117,134,February,88.5,198.58,1173.39,1460.4700000000003
118,135,February,144.05999999999997,176.95,1347.36,1668.37
119,136,February,92.19,171.78,1323.51,1587.48
120,137,February,96.08,189.05,1242.25,1527.38
121,138,February,78.09,198.56,1003.78,1280.4299999999998
122,139,February,88.78,232.82,1178.59,1500.19
123,140,February,104.82999999999998,172.02,1158.16,1435.0100000000002
124,141,February,103.88,220.36,1205.5,1529.74
125,142,February,159.26,204.26,1055.93,1419.45
126,143,February,231.66,216.32,1318.39,1766.3700000000001
127,144,February,130.21,240.45,1356.57,1727.23
128,145,February,131.1,191.13,1178.11,1500.34
129,146,February,396.12,202.76,1174.92,1773.8000000000002
130,147,February,580.21,166.37,1159.55,1906.13
131,148,February,206.73000000000002,186.6,1199.77,1593.1
132,149,February,257.86,231.23,1260.06,1749.15
133,150,February,156.25,240.49,1353.46,1750.2
134,151,February,164.65999999999997,203.34,1205.04,1573.04
135,152,February,220.43999999999997,198.96,1200.44,1619.8400000000001
136,154,February,316.26,209.22,1340.6,1866.08
137,155,February,99.85,205.94,1083.07,1388.86
138,156,February,165.12999999999997,245.05,1299.92,1710.1
139,157,February,315.53999999999996,179.79,1300.63,1795.96
140,158,February,679.14,166.3,1265.68,2111.12
141,159,February,107.82,185.1,1138.24,1431.1599999999999
142,160,February,249.68,172.44,1262.0,1684.12
143,161,February,757.23,202.27,1258.98,2218.48
144,162,February,459.21000000000004,201.13,1374.03,2034.37
145,220,February,44.04,170.13,1183.06,1397.23
146,221,February,24.02,199.34,1266.83,1490.19
147,222,February,17.0,194.12,1089.16,1300.2800000000002
148,223,February,26.03,204.8,1225.5,1456.33
149,224,February,29.799999999999997,187.18,1197.08,1414.06
150,225,February,89.6,191.99,1140.69,1422.2800000000002
151,226,February,54.1,194.24,1167.62,1415.9599999999998
152,227,February,4.67,226.58,1391.94,1623.19
153,228,February,6.07,177.3,1249.69,1433.06
154,230,February,0.0,188.35,1211.86,1400.2099999999998
155,231,February,11.57,201.3,1089.6,1302.4699999999998
156,232,February,58.660000000000004,198.55,1150.3,1407.51
157,233,February,2.8,223.13,1231.29,1457.22
158,234,February,22.2,193.93,1222.62,1438.75
159,239,February,171.24,206.93,1346.31,1724.48
160,240,February,368.85,200.66,1202.53,1772.04
161,241,February,317.74999999999994,182.92,1186.12,1686.79
162,242,February,49.53,193.85,1198.3,1441.6799999999998
163,246,February,91.65,199.43,1209.7,1500.7800000000002
164,254,February,20.64,184.02,1193.82,1398.48
165,255,February,25.009999999999998,251.93,1216.77,1493.71
166,257,February,31.36,204.47,1265.39,1501.22
167,258,February,19.6,220.91,1330.24,1570.75
168,284,February,3.56,233.32,1158.98,1395.8600000000001
169,286,February,0.0,240.09,1066.89,1306.98
170,287,February,31.509999999999998,163.94,1261.74,1457.19
171,288,February,8.86,187.18,1356.92,1552.96
172,289,February,4.67,171.97,1191.79,1368.4299999999998
173,290,February,66.35,190.19,1268.19,1524.73
174,291,February,104.14,192.87,1127.42,1424.43
175,292,February,29.520000000000003,170.56,1220.44,1420.52
176,293,February,28.82,222.21,1155.68,1406.71
177,295,February,30.54,225.5,1168.39,1424.43
178,296,February,14.39,185.86,1138.86,1339.11
179,297,February,47.63,213.61,1159.31,1420.55
180,298,February,35.93,217.08,1163.09,1416.1
181,299,February,34.199999999999996,213.23,1218.07,1465.5
182,300,February,25.55,172.84,1213.51,1411.9
183,301,February,7.680000000000001,248.91,1296.86,1553.4499999999998
184,302,February,19.950000000000003,241.74,1190.57,1452.26
185,303,February,43.650000000000006,190.22,1105.24,1339.1100000000001
186,304,February,8.48,190.74,1176.57,1375.79
187,305,February,19.36,173.38,1090.86,1283.6
188,306,February,21.65,212.3,1299.72,1533.67
189,307,February,44.21,199.94,1308.65,1552.8000000000002
190,309,February,30.0,209.64,1070.1,1309.7399999999998
191,310,February,109.35000000000001,191.58,1069.57,1370.5
192,311,February,24.57,174.75,1318.26,1517.58
193,312,February,13.88,180.78,1157.05,1351.71
194,313,February,19.990000000000002,187.65,1208.24,1415.88
195,315,February,22.45,202.98,986.05,1211.48
196,316,February,11.07,195.45,1324.69,1531.21
197,317,February,0.0,215.58,1380.53,1596.11
198,319,February,0.0,213.56,1231.69,1445.25
199,320,February,26.38,218.68,1102.84,1347.8999999999999
200,321,February,17.18,205.93,1364.68,1587.79
201,322,February,0.0,237.12,1214.64,1451.7600000000002
202,323,February,28.91,242.88,1175.76,1447.55
203,324,February,14.66,190.17,1402.4,1607.23
204,325,February,11.48,178.85,1108.43,1298.76
205,326,February,43.91,215.34,1264.65,1523.9
206,327,February,49.94,211.75,1080.01,1341.7
207,328,February,8.73,216.05,1278.38,1503.16
208,329,February,0.0,190.04,1146.21,1336.25
209,330,February,14.22,179.51,1078.29,1272.02
210,331,February,0.0,196.87,1401.29,1598.1599999999999
211,332,February,67.22,234.73,1209.85,1511.8
212,567,February,92.24,195.96,1105.74,1393.94
213,569,February,95.65,213.92,1047.47,1357.04
214,570,February,68.53,188.74,1124.88,1382.15
215,571,February,64.9,182.41,1315.32,1562.6299999999999
216,572,February,62.489999999999995,183.99,1190.72,1437.2
217,573,February,60.93,154.97,1088.85,1304.75
218,574,February,21.44,186.89,1355.34,1563.6699999999998
219,575,February,66.44,217.67,1097.24,1381.35
220,576,February,143.86,200.87,1192.83,1537.56
221,577,February,106.31,183.08,1244.55,1533.94
222,578,February,152.26999999999998,198.93,1187.81,1539.01
223,579,February,133.49,205.2,1219.08,1557.77
0,1,March,28.13,216.65,972.78,1217.56
1,2,March,22.42,185.37,908.55,1116.34
2,3,March,52.45,199.85,1239.09,1491.3899999999999
3,4,March,26.89,206.66,1083.43,1316.98
4,5,March,98.58,221.07,1281.19,1600.8400000000001
5,6,March,122.93999999999998,174.99,1103.72,1401.65
6,8,March,194.89000000000001,193.88,1043.2,1431.97
7,9,March,34.69,164.02,1184.81,1383.52
8,10,March,80.95,183.21,1156.76,1420.92
9,11,March,3.15,206.74,1196.42,1406.3100000000002
10,12,March,39.9,234.18,1351.28,1625.36
11,14,March,9.43,195.24,1122.4,1327.0700000000002
12,15,March,48.89,191.97,1172.82,1413.6799999999998
13,16,March,107.78999999999999,180.01,1301.96,1589.76
14,17,March,112.87,172.66,1156.48,1442.01
15,18,March,76.27,182.77,1098.45,1357.49
16,20,March,44.91,212.41,1218.59,1475.9099999999999
17,23,March,95.54,158.08,1256.32,1509.94
18,24,March,198.31,195.88,958.1,1352.29
19,25,March,323.23,186.34,1128.32,1637.8899999999999
20,26,March,26.0,179.09,1257.5,1462.59
21,28,March,278.56,204.76,1248.07,1731.3899999999999
22,29,March,383.32,184.15,1237.01,1804.48
23,30,March,277.29,178.25,1183.76,1639.3
24,31,March,248.74,188.33,1069.75,1506.8200000000002
25,32,March,371.47,169.11,1180.79,1721.37
26,33,March,36.18,167.11,1366.07,1569.36
27,36,March,52.98,184.07,1286.87,1523.9199999999998
28,37,March,62.82000000000001,177.1,998.48,1238.4
29,38,March,103.95,217.82,1100.31,1422.08
30,39,March,168.26999999999998,198.36,1096.57,1463.1999999999998
31,40,March,94.87999999999998,176.72,1287.95,1559.55
32,42,March,53.809999999999995,197.88,1271.25,1522.94
33,43,March,60.95,214.02,1377.22,1652.19
34,44,March,160.04000000000002,211.53,1324.61,1696.1799999999998
35,45,March,77.43,234.29,1083.64,1395.3600000000001
36,46,March,155.15,183.95,1206.16,1545.2600000000002
37,47,March,115.39000000000001,225.66,1142.35,1483.3999999999999
38,48,March,32.31,192.62,1040.71,1265.64
39,49,March,116.43000000000002,201.53,1271.57,1589.53
40,50,March,103.19,182.83,1292.49,1578.51
41,51,March,67.14,179.24,1163.39,1409.77
42,52,March,166.51,236.34,1352.16,1755.0100000000002
43,53,March,157.90999999999997,237.83,1329.8,1725.54
44,54,March,111.80000000000001,205.92,1174.65,1492.3700000000001
45,55,March,122.99,216.69,1161.75,1501.43
46,56,March,141.61,204.3,1297.31,1643.22
47,58,March,222.03999999999996,231.64,1306.97,1760.65
48,59,March,203.18999999999997,164.38,1145.56,1513.1299999999999
49,60,March,234.47,232.6,1193.69,1660.76
50,61,March,160.69,166.4,1289.38,1616.4700000000003
51,62,March,264.61,231.98,1383.79,1880.38
52,63,March,212.99000000000004,242.8,1258.47,1714.2600000000002
53,64,March,172.18,174.94,1360.45,1707.5700000000002
54,65,March,306.9700000000001,185.82,1256.66,1749.4500000000003
55,66,March,148.48999999999998,199.75,1122.4,1470.64
56,67,March,127.82000000000001,216.69,1308.49,1653.0
57,68,March,378.93,156.62,1424.2,1959.75
58,70,March,77.69,196.86,1107.52,1382.07
59,71,March,195.87999999999997,213.32,1312.89,1722.0900000000001
60,72,March,186.91000000000003,215.71,1087.12,1489.7399999999998
61,74,March,222.54999999999998,213.0,1127.53,1563.08
62,75,March,256.10999999999996,190.95,1262.36,1709.4199999999998
63,76,March,287.43000000000006,191.78,1343.8,1823.01
64,77,March,107.79,188.72,1227.41,1523.92
65,78,March,306.55,250.58,1149.55,1706.6799999999998
66,79,March,556.5,179.39,1310.67,2046.56
67,80,March,535.5600000000001,204.85,1269.33,2009.74
68,81,March,391.34999999999997,193.66,1236.74,1821.75
69,83,March,158.46,196.73,1045.93,1401.1200000000001
70,84,March,513.63,206.42,1211.76,1931.81
71,85,March,449.71999999999997,188.37,1119.42,1757.51
72,86,March,425.44000000000005,200.75,1043.07,1669.26
73,87,March,285.71000000000004,191.02,1170.02,1646.75
74,88,March,228.33,214.67,1392.63,1835.63
75,89,March,198.32999999999998,191.99,1281.78,1672.1
76,90,March,167.47,201.15,1204.05,1572.67
77,91,March,158.85000000000002,200.1,1205.9,1564.8500000000001
78,92,March,194.34000000000003,237.7,1195.21,1627.25
79,93,March,138.43,237.08,1239.86,1615.37
80,94,March,97.00999999999999,176.01,1173.31,1446.33
81,95,March,159.42999999999998,184.03,1093.6,1437.06
82,96,March,135.76,170.78,1137.76,1444.3
83,97,March,280.47999999999996,192.22,1262.96,1735.6599999999999
84,98,March,203.42,197.44,1248.26,1649.12
