latitude,longitude
39.60683922,-73.4307998
36.92749802,-77.52757441
40.29187519,-74.73188387
36.7664449,-77.53223228
38.6276833,-76.83404504
38.5590894,-78.23462029
40.88854521,-75.70786722
37.05074494,-77.27140599
38.38640204,-77.26217491
39.31320559,-76.6223599
38.99011194,-80.25768151
38.40943599,-73.64778089
38.2446933,-75.76848915
37.68309079,-77.52873796
38.68062902,-79.68454986
38.91884238,-75.72758486
41.1422703,-75.23964079
38.47656621,-77.12621903
37.89434508,-76.30570306
37.0340301,-75.51386168
40.46578705,-74.09161557
40.49371543,-78.59051689
37.60998709,-77.26566466
38.49345162,-77.13746357
41.03664299,-75.02466029
40.56968029,-74.46232038
41.02280973,-75.4067649
39.87881875,-75.89713571
38.51029563,-77.6719074
41.51013482,-77.20903284
40.43472706,-78.729167
39.18402986,-76.31870579
39.74300695,-76.06581264
41.4454946,-77.83504692
39.34313373,-74.299072
39.42406361,-76.2189616
39.39008846,-79.6665219
39.27122061,-74.72214164
40.96046038,-78.50513568
39.5302672,-76.41269297
37.45957393,-77.61687143
37.07870459,-76.24008053
40.43689558,-76.55182523
37.56337733,-78.31810542
37.09839738,-79.1292021
37.9573099,-79.58772427
39.58999374,-79.51667865
37.96334661,-75.46094586
37.64849652,-74.20406741
39.04171438,-75.52204308
36.9742045,-75.62121518
37.97618598,-79.87585004
36.92649471,-75.60579613
41.15979421,-77.43197146
37.63985038,-77.11457587
38.30081717,-73.65159158
36.35953692,-76.17342985
37.40245919,-78.26878479
39.96475212,-78.51320017
37.82827337,-79.1827882
40.16243338,-76.19638395
39.00524003,-80.21911781
40.54350913,-74.42758618
40.97058488,-77.9034927
40.24951564,-74.38785632
37.42758439,-78.16831701
38.42877295,-74.14399349
36.48249687,-75.51672188
